method,dataset,M,nbits,bits_per_vector,train_size,nq,nb,nb_sample,dim,n_centroids,n_exports,train_time_s,encoding_time_s,distance_table_time_s,cdist_time_s,adc_time_s_mean,adc_time_s_std,per_pair_adc_time_ns_mean,per_pair_adc_time_ns_std,rel_error_count,rel_error_mean,rel_error_mean_std_across_exports,rel_error_std,rel_error_min,rel_error_max
PQ,openai,512,6,3072,1000000,1000,1000000.0,10000,1536,64,1,4810.333898,38.864481,0.139784,32.66631,15.077851340174677,0.0,1507.7851340174675,0.0,10000000,0.0492907742500405,0.0,0.0182354680325585,9.09118682557164e-08,1.1781141757965088
PQ,openai,768,4,3072,1000000,1000,1000000.0,10000,1536,16,1,4410.02069,17.284416,0.048371,20.2978,17.31690287590027,0.0,1731.6902875900269,0.0,10000000,0.0526391967212,0.0,0.0198579121056777,0.0,1.2811139822006226
PQ,openai,512,8,4096,1000000,1000,1000000.0,10000,1536,256,1,3734.940909,109.471469,0.41899,21.754963,4.732661880552769,0.0,473.26618805527687,0.0,10000000,0.02186646253493,0.0,0.0102698408460183,0.0,0.5837651491165161
PQ,openai,768,6,4608,1000000,1000,1000000.0,10000,1536,64,1,6004.46193,38.77571,0.128812,20.748059,36.17419617623091,0.0,3617.4196176230903,0.0,10000000,0.0169079168115266,0.0,0.0088816095633045,0.0,0.3649240136146545
PQ,openai,512,10,5120,1000000,1000,1000000.0,10000,1536,1024,1,2950.997949,366.738314,1.354576,19.965729,41.81999064236879,0.0,4181.999064236879,0.0,10000000,0.0118254783526096,0.0,0.0061200557729551,0.0,0.1909069120883941
PQ,openai,512,12,6144,1000000,1000,1000000.0,10000,1536,4096,1,4335.634296,1322.399113,4.781935,19.449159,59.77041181921959,0.0,5977.041181921959,0.0,10000000,0.0070286085976742,0.0,0.0039647516753622,0.0,0.0600105561316013
PQ,openai,768,8,6144,1000000,1000,1000000.0,10000,1536,256,1,4617.465977,111.257893,0.540631,20.332239,6.742803394794464,0.0,674.2803394794464,0.0,10000000,0.007904600551006,0.0,0.0045281598695744,0.0,0.0571243911981582
PQ,openai,1536,4,6144,1000000,1000,1000000.0,10000,1536,16,1,7768.956726,16.848396,0.063458,17.999784,33.146170414984226,0.0,3314.6170414984226,0.0,10000000,0.0112071409075613,0.0,0.0063731062057308,0.0,0.1256879419088363
PQ,openai,768,10,7680,1000000,1000,1000000.0,10000,1536,1024,1,3899.342643,385.033565,1.773926,19.262273,60.62343391776085,0.0,6062.343391776085,0.0,10000000,0.0036548496245925,0.0,0.0024017307188368,0.0,0.0321823321282863
PQ,openai,768,12,9216,1000000,1000,1000000.0,10000,1536,4096,1,5972.870419,1379.928416,6.379674,18.771606,81.95144113153219,0.0,8195.14411315322,0.0,10000000,0.0017071135425542,0.0,0.0012918774408607,0.0,0.0198705606162548
PQ,openai,1536,6,9216,1000000,1000,1000000.0,10000,1536,64,1,9985.376407,97.127497,0.421179,29.84802,40.089418798685074,0.0,4008.9418798685074,0.0,10000000,0.0038418979785111,0.0,0.0026838124870741,0.0,0.0415831096470356
PQ,openai,1536,8,12288,1000000,1000,1000000.0,10000,1536,256,1,7394.901243,130.872631,0.755611,17.927911,18.26668267697096,0.0,1826.668267697096,0.0,10000000,0.0013026672228901,0.0,0.0011332904890344,0.0,0.0235491786152124
PQ,openai,1536,10,15360,1000000,1000,1000000.0,10000,1536,1024,1,6010.705069,487.735969,2.861585,17.931607,118.83876447379588,0.0,11883.876447379587,0.0,10000000,0.0005089359691449,0.0,0.0005274547567346,0.0,0.0184095744043588
PQ,openai,1536,12,18432,1000000,1000,1000000.0,10000,1536,4096,1,9434.444962,1752.284714,10.75967,17.83088,189.8947646915913,0.0,18989.476469159126,0.0,10000000,0.0002096908739618,0.0,0.0002529887362376,0.0,0.009099175222218
