method,dataset,experiment_folder,nq,nb,nb_sample,dim,n_subquantizers,nbits,bits_per_vector,train_size,train_time_s,encoding_time_s,distance_table_time_s,cdist_time_s,adc_time_s,rel_error_mean,rel_error_std,reconstruction_error,reconstruction_error_time_s
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq12_nbits6_train500000_20260209_101406,1000,1000000,10000,960,12,6,72,500000,395.350058,49.514033,4.442683,58.446651,2.261585,0.261574,0.121578,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq12_nbits12_train500000_20260209_101630,1000,1000000,10000,960,12,12,144,500000,410.481778,180.866176,8.117275,49.501838,4.746161,0.193018,0.096546,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq40_nbits6_train500000_20260209_101939,1000,1000000,10000,960,40,6,240,500000,692.060599,79.055534,11.450011,55.714552,5.718337,0.199237,0.099107,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq40_nbits4_train500000_20260209_102005,1000,1000000,10000,960,40,4,160,500000,699.101016,89.064419,10.895939,62.680097,6.456209,0.244274,0.113708,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq60_nbits4_train500000_20260209_102034,1000,1000000,10000,960,60,4,240,500000,727.32931,120.337216,10.76192,33.7604,7.090154,0.224974,0.109867,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq60_nbits6_train500000_20260209_102246,1000,1000000,10000,960,60,6,360,500000,891.492934,91.384947,7.934111,34.986623,5.170144,0.176064,0.094376,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq80_nbits6_train500000_20260209_102346,1000,1000000,10000,960,80,6,480,500000,1031.948418,27.118113,0.043846,26.963976,5.886168,0.155178,0.086515,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq80_nbits4_train500000_20260209_102353,1000,1000000,10000,960,80,4,320,500000,1047.872844,20.60529,0.064433,23.400511,7.134578,0.206602,0.104775,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq40_nbits12_train500000_20260209_102401,1000,1000000,10000,960,40,12,480,500000,685.027972,379.278132,11.570034,21.707814,7.129698,0.121186,0.066713,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq120_nbits4_train500000_20260209_102509,1000,1000000,10000,960,120,4,480,500000,1140.827021,10.152843,0.039716,17.642314,5.454954,0.170117,0.097841,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq120_nbits6_train500000_20260209_102601,1000,1000000,10000,960,120,6,720,500000,1185.090431,22.136111,0.076773,14.707649,5.108294,0.116904,0.07534,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq480_nbits4_train500000_20260209_104109,1000,1000000,10000,960,480,4,1920,500000,2100.817848,11.105535,0.031452,11.856846,11.488569,0.042593,0.048809,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq480_nbits6_train500000_20260209_104109,1000,1000000,10000,960,480,6,2880,500000,2081.763773,26.753436,0.24478,11.919105,14.543385,0.01891,0.024991,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq960_nbits4_train500000_20260209_125441,1000,1000000,10000,960,960,4,3840,500000,3607.890234,15.589007,0.074915,12.520693,23.933152,0.014804,0.02628,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq8_nbits12_train500000_20260209_155044,1000,1000000,10000,960,8,12,96,500000,36.606511,36.688791,1.478962,14.011743,0.634657,0.216376,0.105355,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq8_nbits12_train500000_20260209_155124,1000,1000000,10000,960,8,12,96,500000,48.122278,32.294397,1.346613,12.154017,0.539644,0.216376,0.105355,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq60_nbits12_train500000_20260209_155642,1000,1000000,10000,960,60,12,720,500000,196.092656,225.080884,11.945809,10.872236,4.90137,0.095909,0.059118,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq60_nbits12_train500000_20260209_155706,1000,1000000,10000,960,60,12,720,500000,197.174479,218.217908,7.602989,11.021511,4.416619,0.095909,0.059118,,
