zip_path,dataset,M,K,setting_id,bits_per_vector,A,B,L,de,dh,train_size,val_size,has_codes,has_distance_file,distance_relerr_mean,distance_relerr_std,val_mse_best,train_mse_last,best_min_mse,status
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_4_K_1024.zip,openai,4,1024,0,40.0,32,64,16.0,384.0,384.0,,,True,False,,,0.188905,0.175377,0.291219,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_4_K_16.zip,openai,4,16,0,16.0,16,16,16.0,384.0,384.0,,,True,False,,,0.251017,0.250469,0.206508,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_4_K_256.zip,openai,4,256,0,32.0,32,64,16.0,384.0,384.0,,,True,False,,,0.201379,0.19626,0.189159,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_4_K_4096.zip,openai,4,4096,0,48.0,32,64,16.0,384.0,384.0,,,True,False,,,0.186475,0.154878,0.294751,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_4_K_64.zip,openai,4,64,0,24.0,32,64,16.0,384.0,384.0,,,True,False,,,0.224859,0.223173,0.190267,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_512_K_1024.zip,openai,512,1024,0,5120.0,32,64,16.0,384.0,384.0,,,False,False,,,0.00757421,3.95871e-06,,logs_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_512_K_16.zip,openai,512,16,0,2048.0,16,16,16.0,384.0,384.0,,,False,False,,,0.0247906,0.018145,,logs_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_512_K_256.zip,openai,512,256,0,4096.0,32,64,16.0,384.0,384.0,,,False,False,,,0.00814158,0.000588537,,logs_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_512_K_4096.zip,openai,512,4096,0,6144.0,32,64,16.0,384.0,384.0,,,False,False,,,0.0417376,5.39969e-13,,logs_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_512_K_64.zip,openai,512,64,0,3072.0,32,64,16.0,384.0,384.0,,,False,False,,,0.0123887,0.00456298,,logs_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_8_K_1024.zip,openai,8,1024,0,80.0,32,64,16.0,384.0,384.0,,,True,False,,,0.167968,0.145786,0.278682,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_8_K_16.zip,openai,8,16,0,32.0,16,16,16.0,384.0,384.0,,,True,False,,,0.23127,0.23036,0.17452,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_8_K_256.zip,openai,8,256,0,64.0,32,64,16.0,384.0,384.0,,,True,False,,,0.177764,0.168785,0.169614,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_8_K_256.zip,openai,8,256,1,64.0,32,64,,,,,,True,False,,,0.185556,0.16988,0.228156,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_8_K_256.zip,openai,8,256,2,64.0,32,64,,,,,,True,False,,,0.17808,0.169366,0.186396,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_8_K_256.zip,openai,8,256,3,64.0,32,64,,,,,,True,False,,,0.177844,0.169208,0.163239,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_8_K_256.zip,openai,8,256,4,64.0,32,64,,,,,,True,False,,,0.17791,0.169319,0.170397,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_8_K_256.zip,openai,8,256,5,64.0,32,64,,,,,,True,False,,,0.177675,0.169065,0.162344,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_8_K_4096.zip,openai,8,4096,0,96.0,32,64,16.0,384.0,384.0,,,True,False,,,0.167359,0.116752,0.300146,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_8_K_64.zip,openai,8,64,0,48.0,32,64,16.0,384.0,384.0,,,True,False,,,0.200906,0.19801,0.158263,codes_only
